title
Top	Bottom	length	deuterium
687.67	688.37	0.7	-264.71
688.37	689.26	0.89	-267.81
689.26	690.15	0.89	-266.01
690.15	691.08	0.93	-269.83
691.08	691.77	0.69	-271.21
691.77	692.64	0.87	-264.41
692.64	693.56	0.92	-269.2
693.56	694.41	0.85	-263.65
694.41	695.23	0.82	-258.59
695.23	696.06	0.83	-267.51
696.06	696.86	0.8	-268.55
696.86	697.74	0.88	-254.67
697.74	698.64	0.9	-263.36
698.64	699.54	0.9	-268.61
699.54	700.43	0.89	-266.99
700.43	701.47	1.04	-267.35
701.47	702.44	0.97	-258.69
702.44	703.37	0.93	-266.7
703.37	704.41	1.04	-268.79
704.41	705.18	0.77	-274.03
705.18	706.01	0.83	-262.8
706.01	706.72	0.71	-263.3
706.72	707.47	0.75	999999
707.47	708.22	0.75	-265.31
708.22	709.05	0.83	-267.12
709.05	709.88	0.83	-261.69
709.88	710.82	0.94	-267.03
710.82	711.72	0.9	-263.92
711.72	712.65	0.93	-256.92
712.65	713.41	0.76	-264.46
713.41	714.39	0.98	-268.37
714.39	715.2	0.81	-263.79
715.2	716.07	0.87	-265.89
716.07	716.89	0.82	-265.7
716.89	717.77	0.88	-265.5
717.77	718.55	0.78	-261.09
718.55	719.55	1	-268.94
719.55	720.425	0.875	-258.01
720.425	721.23	0.805	-260.31
721.23	722.115	0.885	-258.33
722.115	722.91	0.795	-269.26
722.91	723.689	0.779	999999
723.689	724.57	0.881	-257.31
724.57	725.435	0.865	-267.15
725.435	726.315	0.88	-262.15
726.315	727.22	0.905	-264.44
727.22	728.04	0.82	-263.08
728.04	728.86	0.82	-266.69
728.86	729.635	0.775	-268.4
729.635	730.555	0.92	-262.58
730.555	731.33	0.775	-267.7
731.33	732.258	0.928	999999
732.258	733.056	0.798	999999
733.056	733.915	0.859	-271.36
733.915	734.78	0.865	-264.47
734.78	735.65	0.87	-267.24
735.65	736.54	0.89	-270.46
736.54	737.41	0.87	-270.38
737.41	738.235	0.825	-267.92
738.235	739.03	0.795	-265.18
739.03	739.86	0.83	-266.71
739.86	740.61	0.75	-265.64
740.61	741.43	0.82	-270.97
741.43	742.264	0.834	999999
742.264	743.098	0.834	999999
743.098	743.932	0.834	999999
743.932	744.765	0.833	999999
744.765	745.599	0.834	999999
745.599	746.433	0.834	999999
746.433	747.22	0.787	-266.52
747.22	748.04	0.82	-262.54
748.04	748.905	0.865	-259.08
748.905	749.76	0.855	-263.29
749.76	750.5	0.74	-265.93
750.5	751.385	0.885	-272.67
751.385	752.25	0.865	-271.17
752.25	753.12	0.87	-257.04
753.12	753.905	0.785	-261.88
753.905	754.81	0.905	-262.11
