top depth (m),bottom depth (m),delta D (per mil),delta 18O  (per mil),Deuterium Excess (per mil)
1782,1782.5,-273.7,999999,999999
1782.5,1783,-281.7,999999,999999
1783,1783.5,-279.7,-35.75,6.2
1783.5,1784,-284.7,-36.07,3.9
1784,1784.5,-276.3,-35.25,5.7
1784.5,1785,-274.8,-34.99,5
1785,1785.5,-286.2,-36.28,4
1785.5,1786,-285.1,-36.05,3.3
1786,1786.5,-279.2,-35.4,4
1786.5,1787,-270.7,-34.43,4.8
1787,1787.5,-277.2,-35.06,3.3
1787.5,1788,-271.4,-34.47,4.4
1788,1788.5,-267.1,-33.83,3.6
1788.5,1789,-279.9,-35.43,3.5
1789,1789.5,-261.9,-33.31,4.6
1789.5,1790,-288.1,-36.48,3.7
1790,1790.5,-281.9,-35.74,4
1790.5,1791,-268.8,-34.22,4.9
1791,1791.5,-283.8,-35.99,4.1
1791.5,1792,-276.6,-35.03,3.6
1792,1792.5,-279.5,-35.46,4.2
1792.5,1793,-276.3,-35.4,6.9
1793,1793.5,-282.7,-36.02,5.5
1793.5,1794,-288,-36.19,1.5
1794,1794.5,-278.1,-35.07,2.5
1794.5,1795,-291.5,-36.91,3.8
1795,1795.5,-292.2,-36.91,3.1
1795.5,1796,-281.2,-35.57,3.3
1800,1800.5,-306.2,-39.23,7.7
1800.5,1801,-301,-38.48,6.8
1801.01,1801.5,-296.3,-37.85,6.5
1802,1802.5,-308.9,-39.63,8.2
1802.5,1803,-326.8,-41.97,8.9
1803,1803.5,-319.3,-40.63,5.7
1803.5,1804,-299.5,-38.25,6.5
1804,1804.5,-305.1,-38.87,5.9
1804.5,1805,-312.8,-39.93,6.6
1805,1805.5,-314.5,-40.17,6.8
1805.5,1806,-311.2,-39.74,6.7
1806,1806.5,-304.7,-38.82,5.8
1806.5,1807,-303.9,-38.79,6.5
1807,1807.5,-320.9,-40.78,5.3
1807.5,1808,-304.5,-38.64,4.6
1808,1808.5,-308.5,-39.55,7.9
1808.5,1809,-300.5,-38.17,4.8
1809,1809.5,-294.4,-37.47,5.3
1809.5,1810,-301.8,-38.35,5.1
1810,1810.5,-302.7,-38.45,4.9
1810.5,1811,-296.2,-37.83,6.4
1811,1811.5,-300.7,-38.41,6.5
1811.5,1812,-299,-38.18,6.4
1812,1812.5,-303.5,-38.73,6.4
1812.5,1813,-298.5,-38.01,5.6
1813,1813.5,-311.3,-39.63,5.7
1813.5,1814,-311,-39.65,6.2
1814,1814.5,-297.3,-38.17,8.1
1814.5,1815,-301.4,-38.32,5.2
1815,1815.5,-312.3,-39.71,5.3
1815.5,1816,-313.9,-39.85,5
1816,1816.5,-316,-40.52,8.2
1816.5,1817,-297.5,-38.16,7.8
1817,1817.5,-300.8,-38.47,7
1817.5,1818,-307.8,-39.48,8
1818,1818.5,-306,-39.17,7.4
1818.5,1819,-320,-40.97,7.8
1819,1819.5,-297.8,-37.78,4.4
1819.5,1819.99,-299.7,-38.35,7.1
1819.99,1820.5,-305.7,-38.87,5.3
1820.5,1821,-312.1,-39.74,5.8
1821,1821.5,-301.6,-38.63,7.5
1821.5,1822,-303.3,-38.85,7.5
1822,1822.5,-308.5,-39.42,6.9
1822.5,1823,-307,-39.42,8.3
1823,1823.5,-314.9,-40.09,5.9
1823.5,1824,-319.5,-40.47,4.2
1824,1824.5,-322,-40.9,5.2
1824.5,1825,-318.3,-40.76,7.9
1825,1825.5,-308,-39.22,5.8
1825.5,1826,-298.7,-37.99,5.2
1826,1826.5,-302.5,-38.58,6.1
1826.5,1827,-311.5,-39.83,7.2
1827,1827.5,-319.3,-40.53,4.9
1827.5,1828,-318.4,-40.75,7.6
1828,1828.5,-322.3,999999,999999
1828.5,1829,-308.7,999999,999999
1829,1829.5,-322.2,-41.39,9
1829.5,1830,-312.9,-39.87,6
1830,1830.5,-318.7,-40.48,5.1
1830.5,1831,-316,-40.48,7.8
1831,1831.5,-319,999999,999999
1831.5,1832,-318.2,999999,999999
1832,1832.5,-306.3,-38.91,5
1832.5,1833.01,-317.7,-40.47,6
1833,1833.5,-303.1,-38.65,6.1
