top depth (m),bottom depth (m),delta D (per mil),delta 18O  (per mil),Deuterium Excess (per mil)
2299,2299.5,-298.8,-37.86,4.1
2299.5,2300,-302.5,-38.57,6
2300,2300.5,-293.8,-37.4,5.5
2300.5,2301,-292.3,-37.07,4.2
2301,2301.5,-304.1,-38.43,3.4
2301.5,2302,-299.4,-37.73,2.5
2302,2302.5,-298.2,-37.7,3.5
2302.5,2303,-297.4,-37.69,4.1
2303,2303.5,-300.9,-38.03,3.4
2303.5,2304,-297.8,-37.48,2.1
2304,2304.5,-316.1,-40.12,4.9
2304.5,2305,-324.1,-41.2,5.5
2305,2305.5,-325.5,-41.62,7.4
2305.5,2306,-323.1,-41.13,5.9
2306,2306.5,-325.5,-41.64,7.6
2306.5,2307,-320.9,-40.95,6.6
2307,2307.5,-324.8,-41.41,6.5
2307.5,2308,-327.7,-41.59,5
2308,2308.5,-326.2,-41.64,6.9
2308.5,2309,-316.2,-40.27,5.9
2309,2309.5,-323.3,-41.17,6.1
2309.5,2310,-327.5,-41.97,8.3
2310,2310.5,-320.3,-40.68,5.1
2310.5,2311,-319.9,-41.14,9.2
2311,2311.5,-327.8,999999,999999
2311.5,2312,-318.6,999999,999999
2312,2312.5,-314.6,-40.23,7.3
2312.5,2313,-323.3,-41.15,5.9
2313,2313.5,-319.7,-40.69,5.8
2313.5,2314,-322.2,-41.28,8
2314,2314.5,-317.4,-40.18,4.1
2314.5,2315,-312.3,-39.57,4.2
2315,2315.5,-300.9,-37.62,0
2315.5,2316,-301.5,-38.08,3.1
2316,2316.5,-303,-38.27,3.1
2316.5,2317,-299.5,-37.89,3.6
2317,2317.5,-306.9,-38.84,3.8
2317.5,2318,-312,-39.52,4.2
2318,2318.5,-317.1,-40.33,5.6
2318.5,2319,-315.1,-39.91,4.2
2319,2319.5,-311,-39.74,6.9
2319.5,2320,-301.6,-38.29,4.7
2320,2320.5,-312.3,-39.62,4.7
2320.5,2321,-312.2,-39.67,5.2
2321,2321.5,-308.6,-38.97,3.1
2321.5,2321.96,-310.2,-39.34,4.5
2321.97,2322.5,-313.5,999999,999999
2322.5,2323,-310.5,999999,999999
2323,2323.5,-311.3,-39.24,2.6
2323.5,2324,-305.5,-38.51,2.6
2324,2324.5,-311.5,-39.41,3.8
2324.5,2325,-308.5,-39.02,3.7
2325,2325.5,-307,-39.13,6.1
2325.5,2326,-304.1,-38.48,3.8
2326,2326.5,-303.9,-38.32,2.7
2326.5,2327,-305.4,-38.32,1.2
2327,2327.5,-312,-39.54,4.3
2327.5,2328,-297.6,-37.74,4.3
2328,2328.5,-305.3,-38.64,3.8
2328.5,2329,-308.3,-39.25,5.6
2329,2329.5,-309.1,-39.05,3.3
2329.5,2330,-306,-38.58,2.7
2330,2330.5,-307.4,-38.72,2.3
2330.5,2331,-300.9,-38.18,4.6
2331,2331.5,-299.1,-37.63,2
2331.5,2332,-299.1,-37.89,4
2332,2332.5,-302.6,-37.92,0.8
2332.5,2333,-305.6,-38.32,1
2333,2333.5,-302.6,-38.2,3
2333.5,2334,-301.1,-38.1,3.7
2334,2334.5,-298.5,-37.87,4.5
2334.5,2335,-300,-38.04,4.4
2335,2335.5,-299.5,-37.72,2.2
2335.5,2336,-296.7,-37.49,3.2
2336,2336.5,-300.3,-38.07,4.3
2336.5,2337,-295.4,-37.28,2.8
2337,2337.5,-294.1,-37.13,2.9
2337.5,2338,-295.2,-37.24,2.8
2338,2338.5,-300.5,-38.01,3.6
2338.5,2339,-300.6,-37.9,2.6
2339,2339.5,-293.6,-37.24,4.3
2339.5,2340,-298.2,-37.55,2.1
2340,2340.5,-301.1,-37.91,2.2
2340.5,2340.98,-294.3,-37.15,2.9
2341,2341.5,-302.5,999999,999999
2342,2342.5,-297.2,-37.52,2.9
2342.5,2343,-296.3,-37.43,3.1
2343,2343.5,-300,-38.19,5.5
2343.5,2344,-297.4,-37.57,3.1
2344,2344.5,-296.1,-37.28,2.2
2344.5,2345,-292.2,-36.92,3.2
2345,2345.5,-294.4,-37.24,3.5
2345.5,2346,-292.2,-37,3.8
2346.5,2347,-295.3,-37.39,3.8
2347,2347.5,-288.3,-36.4,2.9
2347.5,2348,-288.7,-36.54,3.6
2348,2348.5,-286.3,-36.37,4.7
2348.5,2349,-290.4,-36.72,3.3
2349,2349.5,-289.8,-37.06,6.6
2349.5,2350,-293.4,-37.23,4.4
2350,2350.5,-298.5,-37.73,3.4
2350.5,2351,-294.1,-37.03,2.1
2351,2351.5,-283.6,-35.85,3.2
2351.5,2352,-290.4,-36.6,2.3
2353,2353.5,-295.9,-37.2,1.7
2353.5,2354,-285.3,-36.09,3.4
2354,2354.5,-285.7,-36.18,3.8
2354.5,2355,-295.2,-37.4,4
2355,2355.5,-285.9,-36.25,4.1
2355.5,2356,-283,-36.01,5.1
2356,2356.5,-286.1,-36.08,2.6
2356.5,2357,-288.1,-36.6,4.7
2357,2357.5,-287,-36.27,3.1
2357.5,2358,-284.6,-36.05,3.7
2358,2358.5,-281.6,-35.86,5.2
2358.5,2359,-292.2,-37.06,4.3
2359,2359.5,-312,-39.55,4.3
2359.5,2360,-321.7,-41.17,7.7
2360,2360.5,-316.7,-40.53,7.5
2360.5,2361,-319.3,-40.72,6.4
2361,2361.5,-312.4,-39.95,7.3
2361.5,2362,-315,-40.42,8.4
2363.01,2363.5,-316.3,-40.3,6.1
2363.5,2364,-315.1,-40.13,6
2364,2364.5,-309.1,-39.52,7.1
2364.5,2365,-309.1,-39.67,8.2
2365,2365.5,-315.1,-40.39,8.1
2365.5,2366,-313.6,-40.17,7.8
2366,2366.5,-312.2,-39.99,7.7
2366.5,2367,-311.2,-39.63,5.8
2367,2367.5,-319.6,-40.8,6.8
2367.5,2368,-318.2,-40.71,7.5
2368,2368.5,-316.2,-40.23,5.7
2368.5,2369,-308.5,-39.34,6.2
2369,2369.5,-315.9,-40.46,7.8
2369.5,2370,-310.1,-39.65,7.1
2370,2370.5,-312.9,-40.12,8.1
2370.5,2371,-325.6,-41.8,8.8
2371,2371.5,-316.7,-40.58,7.9
2371.5,2372,-313.2,-40.09,7.5
2372,2372.5,-323,-41.21,6.7
2372.5,2373,-315.2,-40.35,7.7
2373,2373.5,-312.1,-39.65,5.1
2373.5,2374,-303.9,-38.6,4.9
2375,2375.5,-304.5,-38.53,3.7
2375.5,2376,-308.8,-39.08,3.9
2376,2376.5,-307.6,-39,4.4
2376.5,2377,-310.7,-39.59,6
2377,2377.5,-305,-38.86,5.9
2377.5,2378,-307.9,-39.07,4.6
2378,2378.5,-307.3,-38.91,4
2378.5,2379,-307.1,-38.95,4.5
2379,2379.5,-297.6,-37.86,5.3
2379.5,2380,-302,-38.07,2.6
2380,2380.5,-297.6,-37.81,5
2380.5,2381,-300.5,-38,3.6
2381.02,2381.5,-300,-37.83,2.7
2381.5,2382,-299,-38.12,6
2383,2383.5,-306.9,-38.77,3.2
2383.5,2384,-296.6,-37.47,3.2
2384,2384.5,-302.4,-38.12,2.5
2384.5,2385,-299.6,-37.69,2
2385,2385.5,-300.8,-38.22,5
2385.5,2386,-305.1,-38.8,5.3
2386,2386.5,-320,-40.94,7.5
2386.5,2387,-313.5,-39.98,6.3
2387,2387.5,-314.3,-40.09,6.4
2387.5,2388,-311.9,-39.77,6.3
2388,2388.5,-310.1,-39.49,5.8
2388.5,2389,-308.9,-39.46,6.8
2389,2389.5,-302.7,-38.44,4.8
2389.5,2390,-302.4,-38.28,3.8
2390,2390.5,-300.8,-38.17,4.5
2390.5,2391,-303.9,-38.62,5.1
2391,2391.5,-304.1,-38.54,4.2
2391.5,2392,-313.7,-39.9,5.5
2392,2392.5,-300.7,-38.22,5
2392.5,2393,-314.3,-39.73,3.6
2393,2393.5,-312.4,-39.49,3.5
2393.5,2394,-309.4,-39.35,5.4
2394,2394.5,-306.6,-38.82,4
2394.5,2395,-307,-38.76,3.1
2395,2395.5,-304.3,-38.25,1.7
2395.5,2396,-308.8,-39.14,4.3
2397,2397.5,-307.4,-39.19,6.1
2397.5,2398,-304.3,-38.64,4.8
2398,2398.5,-308.1,-39.05,4.3
2398.5,2399,-301.6,-38.15,3.7
2399,2399.5,-307.6,-38.9,3.6
2399.5,2400,-309.1,-39.03,3.2
2400,2400.5,-308.3,-39.11,4.6
2400.5,2401,-305.5,-38.54,2.9
2401,2401.5,-303.4,-38.64,5.7
2401.5,2402,-306.4,-38.8,4
2403,2403.5,-302.3,-38.45,5.2
2403.5,2404,-308.4,-39.2,5.2
2404,2404.5,-305.1,-38.87,5.9
2404.5,2405,-307.7,-38.9,3.5
2405,2405.5,-315.8,-39.87,3.1
2405.5,2406,-304,-38.73,5.9
2407,2407.5,-301.7,-38.07,2.8
2407.5,2408,-311.6,-39.38,3.4
2408,2408.5,-310.5,-39.45,5.1
2408.5,2409,-304,-38.37,3
2409,2409.5,-307.3,-39.12,5.6
2409.5,2410.03,-302.9,-38.34,3.8
2410.03,2410.5,-303.3,-38.55,5.1
2410.5,2411,-300.8,-38,3.2
2411,2411.5,-303,-38.39,4.2
2411.5,2412,-298.9,-37.56,1.5
2412,2412.5,-301,-38.26,5
2412.5,2413,-304,-38.26,2.1
2413,2413.5,-305.7,-38.44,1.8
2413.5,2414,-300.5,-37.95,3.1
2414,2414.5,-305.3,-38.78,4.9
2414.5,2415,-306.2,-39.07,6.4
2415,2415.5,-307.4,-38.83,3.2
2415.5,2416,-305.2,-38.82,5.3
2416,2416.5,-304,-38.81,6.5
2416.5,2417,-299.4,-38.15,5.9
2417,2417.5,-293.9,-37.39,5.3
2417.5,2418,-293.1,-36.95,2.5
2418,2418.5,-302.6,-38.61,6.3
2418.5,2419,-306.9,-39.11,5.9
2419,2419.5,-301.3,-38,2.7
2419.5,2420,-302.1,-38.36,4.8
2420,2420.5,-296.6,-37.6,4.2
2420.5,2421,-296.3,-37.77,5.9
2421.11,2421.5,-300.5,-37.79,1.8
2421.5,2422,-300.5,-38.23,5.3
2423,2423.5,-296.5,-37.78,5.7
2423.5,2424,-294.7,-37.27,3.4
2424,2424.5,-296.3,-37.32,2.3
2424.5,2425,-300.7,-37.98,3.1
2425,2425.5,-290.9,-36.73,3
2425.5,2426,-297.8,-37.85,5
2426,2426.5,-297.5,-37.75,4.5
2426.5,2427,-295.5,-37.64,5.6
2427,2427.5,-293,-37.13,4.1
2427.5,2428,-299.2,-37.88,3.8
2428,2428.5,-297.6,-37.6,3.2
2428.5,2429,-295.3,-37.25,2.8
2429,2429.5,-301.5,-38.06,3.1
2429.5,2430,-288.1,-36.85,6.7
2430,2430.5,-293.9,-37.42,5.4
2430.5,2431,-301.4,-37.94,2.1
2431.11,2431.5,-299.7,-37.82,2.9
2431.5,2432,-295.4,-37.54,4.9
2432,2432.5,-300.6,-38.13,4.4
2432.5,2433,-294.3,-37.12,2.7
2433,2433.5,-293.5,-37.72,8.2
2433.5,2434,-289.2,-36.89,5.9
2434,2434.5,-285.3,-37.13,11.7
2434.5,2435.03,-288.5,-36.21,1.2
2435.03,2435.53,-286.4,-35.98,1.5
2435.53,2436.03,-291.7,-36.75,2.3
2436.03,2436.53,-290,-36.76,4.1
2436.53,2437.03,-294.6,-36.9,0.7
2437.03,2437.53,-296.2,-37.26,1.9
2437.53,2438.03,-294.8,-37.3,3.6
2438.03,2438.5,-291.4,-36.75,2.6
2438.5,2439,-299,-37.88,4.1
2439,2439.5,-293.6,-37.09,3.1
2439.5,2440,-290,-36.94,5.6
2440,2440.5,-293.5,-37.38,5.6
2440.5,2441,-296.5,-37.89,6.7
2441.01,2441.5,-291.4,-37.17,5.9
2441.5,2442,-291.7,-37.24,6.2
2443,2443.5,-286.4,-36.58,6.3
2443.5,2444,-286.8,-36.7,6.9
2444,2444.5,-290.5,-37.02,5.6
2444.5,2444.95,-285.8,-36.41,5.5
2444.98,2445.5,-288.9,-36.83,5.7
2445.5,2446,-289.1,-36.9,6.1
2446,2446.5,-287.2,-36.71,6.4
2447,2447.5,-293.1,-37.5,6.9
2447.5,2448,-290.9,-37.05,5.5
2448,2448.5,-289.4,-36.88,5.7
2448.5,2449,-289.3,-36.98,6.6
2449,2449.5,-280.2,-35.87,6.8
2449.5,2450,-286.4,-36.5,5.6
2450,2450.5,-287.9,-36.61,5
2450.5,2451,-283.5,-36.02,4.7
2451,2451.5,-293.1,-37.5,7
2451.5,2452,-294.7,-37.76,7.4
2452,2452.5,-287.2,-36.7,6.4
2452.5,2453,-288.2,-36.78,6.1
2453,2453.5,-293,-37.27,5.1
2453.5,2454,-289.9,-37.03,6.3
2455,2455.5,-314.1,-40.3,8.3
2455.5,2456,-316.9,-40.76,9.2
2456,2456.5,-308.5,-39.75,9.4
2456.5,2457,-313.5,-40.44,10
2457,2457.5,-304.2,-39.16,9.1
2457.5,2458,-313.9,-40.38,9.1
2458,2458.5,-312.7,-40.15,8.5
2458.5,2459,-309.8,-39.79,8.6
2459,2459.5,-309.4,-39.67,8
2459.5,2460,-307.3,-39.49,8.6
2460,2460.5,-298.7,-38.27,7.4
2460.5,2461,-285.6,-36.32,5
2461.1,2461.5,-287.6,-36.54,4.7
2461.5,2462,-308.8,-39.57,7.7
2462,2462.5,-311.8,-39.99,8.1
2462.5,2463,-310.1,-39.9,9.1
2463,2463.5,-314.4,-40.16,6.9
2463.5,2464,-313.2,-40.22,8.6
2465,2465.5,-291.5,-37.07,5.1
2465.5,2466,-294.2,-37.57,6.4
2466,2466.5,-295.9,-37.66,5.4
2466.5,2467,-292.4,-37.25,5.7
2467,2467.5,-292.9,-37.4,6.3
2467.5,2468,-292,-37.15,5.3
2468,2468.5,-291.6,-37.03,4.6
2468.5,2469,-296.1,-37.74,5.8
2469,2469.5,-310.3,-39.8,8.1
2469.5,2470,-319.1,-40.99,8.8
2470,2470.5,-309.9,-39.85,8.9
2470.5,2471,-312.8,-40.13,8.2
2471,2471.5,-307.2,-39.45,8.4
2471.5,2472,-312.7,-40.26,9.4
2472,2472.5,-309.9,-39.86,8.9
2472.5,2473,-313.2,-40.12,7.7
2473,2473.5,-306.2,-39.41,9.1
2473.5,2474,-304.7,-39.2,8.9
2474,2474.5,-306.1,-39.36,8.8
2474.5,2475,-306.3,-39.28,7.9
2475,2475.5,-298.4,-38.23,7.4
2475.5,2476,-299.5,-38.36,7.4
2476,2476.5,-301.4,-38.52,6.8
2476.5,2477,-298.4,-38.31,8
2477,2477.5,-299.2,-38.37,7.8
2477.5,2478,-296.7,-38.24,9.2
2478,2478.5,-304.4,-39.14,8.8
2478.5,2479,-302.6,-38.96,9.1
2479,2479.5,-301.1,-38.67,8.2
2479.5,2480,-306.4,-39.33,8.2
2480,2480.5,-307.1,-39.41,8.2
2480.5,2480.96,-297.1,-38.36,9.7
2481.95,2482.45,-305.4,-39.31,9.1
2482.45,2482.95,-295.2,-37.96,8.5
2482.95,2483.45,-300.3,-38.47,7.4
2483.45,2483.95,-297.9,-38.24,8
2483.95,2484.47,-298.4,-38.23,7.4
2484.47,2484.97,-299.3,-38.26,6.8
2484.97,2485.5,-299.5,-38.37,7.5
2485.5,2486,-299.1,-38.38,7.9
2486,2486.5,-298.7,-38.3,7.8
2486.5,2487,-290.6,-37.29,7.7
2487,2487.5,-296.8,-38.07,7.8
2487.5,2488,-296.1,-37.99,7.8
2488,2488.5,-292.7,-37.54,7.6
2488.5,2489,-287.6,-36.89,7.5
2489,2489.5,-290.7,-37.14,6.5
2489.5,2490,-290.1,-37.15,7.2
2491,2491.5,-289.5,-37.1,7.4
2491.5,2492,-290,-37.13,7
2492,2492.5,-309,-39.94,10.5
2492.5,2493,-303.9,-39.28,10.4
2494,2494.5,-289.1,-36.89,6.1
2494.5,2495,-317.1,-40.72,8.6
2495,2495.5,-312.4,-40.35,10.4
2495.5,2496,-311.2,-40.34,11.5
2496.5,2497,-310.5,-39.98,9.3
2497,2497.5,-303.2,-39.07,9.3
2497.5,2498,-288.6,-37.08,8.1
2498,2498.5,-296.2,-37.9,7
2498.5,2499,-289.8,-37.23,8
2499,2499.5,-294,-37.73,7.9
2499.5,2500,-301.9,-39.1,11
2500,2500.5,-294.8,-37.81,7.7
2500.5,2501,-292.7,-37.63,8.3
2501.01,2501.5,-282.7,-36.4,8.5
2501.5,2502,-288,-37.12,9
2502,2502.5,-287.5,-36.9,7.7
2502.5,2503,-284.7,-36.68,8.7
2503,2503.5,-306.5,-39.69,11.1
2503.5,2504,-312.5,-40.67,12.9
2504,2504.5,-314.7,-40.9,12.5
2504.5,2505,-305.9,-39.82,12.7
2505,2505.5,-291.7,-37.64,9.5
2505.5,2506,-286.7,-36.84,8
2506,2506.5,-283.1,-36.25,6.9
2506.5,2507,-305.4,-39.25,8.6
2507,2507.5,-315.4,-40.83,11.3
2507.5,2508,-316,-41.11,12.9
2508,2508.5,-313.8,-40.33,8.9
2508.5,2509,-318.3,-40.87,8.7
2509,2509.5,-320.8,-41.18,8.7
2509.5,2510,-320.5,-41.19,9.1
2510,2510.5,-317,-40.71,8.7
2510.5,2511,-319.5,-41.02,8.7
2511,2511.5,-323.2,-41.42,8.1
2511.5,2512,-310.8,-40.01,9.2
2512,2512.5,-310.2,-40.02,10
2512.5,2513,-312.8,-40.24,9.2
2513,2513.5,-313.5,-40.36,9.4
2513.5,2514,-309.3,-39.73,8.6
2514,2514.5,-316.5,-40.58,8.1
2514.5,2515,-315.8,-40.57,8.8
2515,2515.5,-320.5,-41.16,8.8
2515.5,2516,-315.1,-40.44,8.4
2516,2516.5,-314.5,-40.3,7.9
2516.5,2517,-319.1,-40.98,8.8
2517,2517.5,-317.2,-40.76,8.9
2517.5,2518,-309.6,-39.69,8
2518,2518.5,-321.2,-41.2,8.3
2518.5,2519,-313.5,-40.23,8.3
2519,2519.5,-314.9,-40.44,8.6
2519.5,2520,-313.8,-40.38,9.2
2520,2520.5,-324.9,-41.63,8.2
2520.5,2521,-318.5,-40.89,8.6
2521,2521.5,-314.9,-40.47,8.8
2521.5,2522,-312.8,-40.28,9.4
2523.01,2523.5,-318.8,-40.81,7.7
2523.5,2524,-319.4,-41.12,9.6
2524,2524.5,-327.1,-42.01,9
2524.5,2525,-323.7,-41.54,8.7
2525,2525.5,-321.9,-41.5,10.1
2525.5,2526,-323.5,-41.6,9.3
2526,2526.5,-319.3,-40.91,8
2526.5,2527,-323.2,-41.55,9.2
2527,2527.5,-323.7,-41.68,9.7
2527.5,2528,-324.6,-41.73,9.2
2528,2528.5,-325.2,-41.81,9.2
2528.5,2529,-317.8,-40.79,8.5
2529,2529.5,-319.2,-41.05,9.2
2529.5,2530,-317,-40.77,9.2
2530,2530.5,-316.1,-40.61,8.7
2530.5,2531,-319.1,-40.92,8.3
2531,2531.5,-315.3,-40.38,7.7
2531.5,2532,-318.5,-40.98,9.4
2532,2532.5,-318.4,-40.82,8.2
2532.5,2533,-323.1,-41.29,7.3
2533,2533.5,-296.2,-37.74,5.8
2533.5,2534.03,-297.8,-37.83,4.8
2534.04,2534.5,-296,-37.65,5.2
2534.5,2534.97,-296.2,-37.75,5.8
2534.97,2535.5,-294.5,-37.41,4.8
2535.5,2535.97,-310.6,-39.36,4.3
2535.97,2536.5,-323.8,-41.58,8.9
2536.5,2536.97,-322.8,-41.38,8.3
2536.97,2537.5,-318.2,-40.78,8.1
2537.5,2537.97,-324,-41.59,8.8
2537.97,2538.5,-316.6,-40.6,8.2
2538.5,2538.97,-320.6,-41.09,8.1
2538.97,2539.5,-315.1,-40.24,6.8
2539.5,2540,-314.3,-40.12,6.7
2540,2540.5,-322.7,-41.24,7.2
2540.5,2541,-315.1,-40.38,7.9
2541,2541.5,-317.9,-40.66,7.4
2541.5,2542,-326,-41.73,7.9
2542,2542.5,-319.1,-40.96,8.6
2542.5,2543,-329.2,-42.23,8.7
2543,2543.5,-323,-41.48,8.9
2543.5,2544,-320.6,-41.24,9.3
2544,2544.5,-323.8,-41.6,9
2544.5,2545,-327.5,-42.07,9.1
2547,2547.5,-319.9,-40.99,8.1
2547.5,2548,-316.2,-40.64,8.9
2548,2548.5,-318.2,-40.82,8.3
2548.5,2549,-314.9,-40.39,8.2
2549,2549.5,-325,-41.61,7.9
2549.5,2550,-323.6,-41.51,8.4
2550,2550.5,-317.8,-40.78,8.4
2550.5,2551,-320.2,-41.11,8.7
2551,2551.5,-320.6,-41.08,8
2551.5,2552,-310.7,-39.88,8.3
2552,2552.5,-318.2,-40.87,8.8
2552.5,2553,-325.3,-41.65,7.9
2553,2553.5,-327.2,-42.06,9.3
2553.5,2554,-325.5,-41.76,8.6
2554,2554.5,-322.9,-41.64,10.2
2554.5,2555,-333.2,-42.79,9.1
2555,2555.5,-325.2,-41.64,8
2555.5,2556,-324,-41.46,7.7
2556,2556.5,-331.7,-42.44,7.8
2556.5,2557,-320,-41.08,8.6
2557,2557.5,-327.4,-42.02,8.8
2557.5,2558,-326.3,-41.97,9.5
2558,2558.5,-327.4,-42.08,9.3
2558.5,2559,-319.8,-41,8.1
2559,2559.5,-323.4,-41.56,9.1
2559.5,2560,-323.9,-41.6,8.9
2560,2560.5,-325.5,-41.83,9.1
2560.5,2561,-320.1,-41.01,8
2561,2561.5,-316,-40.42,7.4
2561.5,2562,-307.8,-39.37,7.1
2563,2563.5,-309.7,-39.61,7.1
2563.5,2564,-333.2,-42.83,9.4
2564,2564.5,-328.3,-42.22,9.5
2564.5,2565,-330.9,-42.63,10.1
2565,2565.5,-330.8,-42.51,9.3
2565.5,2566,-321.8,-41.35,9
2566,2566.5,-324.4,-41.76,9.7
2566.5,2567,-322.9,-41.52,9.2
2567,2567.5,-317.6,-40.69,7.9
2567.5,2568,-316.6,-40.58,8.1
2568,2568.5,-311.8,-39.41,3.4
2568.5,2569,-312.9,-39.78,5.3
2569,2569.5,-319.7,-41.03,8.5
2569.5,2570,-310.4,-39.71,7.3
2570,2570.5,-304.4,-38.71,5.2
2570.5,2571,-300.6,-38.26,5.5
2571,2571.5,-295.9,-37.82,6.7
2571.5,2572,-300.5,-38.41,6.8
2572,2572.5,-296.8,-37.99,7.1
2572.5,2573,-298.1,-38.01,6
2573,2573.5,-296.8,-37.77,5.4
2573.5,2574,-296.4,-37.87,6.5
2574,2574.5,-296.7,-37.88,6.3
2574.5,2575,-293.6,-37.28,4.6
2575,2575.5,-296.6,-37.93,6.8
2575.5,2576,-293.1,-37.55,7.3
2576,2576.5,-293.3,-37.52,6.8
2576.5,2577,-298.5,-38.19,7.1
2577,2577.5,-294.8,-37.79,7.5
2577.5,2578,-290.1,-37.15,7.1
2578,2578.5,-295.1,-37.66,6.1
2578.5,2579,-291.6,-37.32,6.9
2579,2579.5,-286.6,-36.64,6.6
2579.5,2580,-287.1,-36.75,6.9
2580,2580.5,-289.8,-37.11,7.1
2580.5,2581,-290.4,-37.09,6.3
2581,2581.5,-285.8,-36.52,6.4
2581.5,2582,-283.2,-36.2,6.4
2584,2584.5,-295.7,-37.68,5.7
2584.5,2585,-330.7,-42.6,10.1
2585,2585.5,-328.9,-42.51,11.1
2585.5,2586,-332.3,-42.92,11.1
2586,2586.5,-334.1,-42.97,9.7
2587,2587.5,-330,-42.44,9.5
2587.5,2588,-321,-41.2,8.6
2588,2588.5,-331.8,-42.36,7.1
2588.5,2589,-333.9,-42.88,9.2
2589,2589.5,-334.8,-43.08,9.8
2589.5,2590,-335.1,-43.06,9.4
2590,2590.5,-334,-42.83,8.6
2590.5,2591,-330.2,-42.82,12.4
2591,2591.5,-323.2,-41.4,8
2591.5,2592.06,-317.8,999999,999999
2592.06,2592.56,-304.9,-38.85,5.9
2592.56,2593.11,-305.8,-38.92,5.5
2593.11,2593.61,-308.7,-39.32,5.9
2593.61,2594.11,-303.7,-39.12,9.3
2594.11,2594.61,-306.7,-38.69,2.9
2594.61,2595.11,-306.7,-39.26,7.4
2595.11,2595.61,-306.1,-39.27,8.1
2595.61,2596.11,-303.6,-38.87,7.4
2597.12,2597.62,-298.9,-38.32,7.7
2597.62,2598,-297.1,-38.04,7.2
2598,2598.5,-297.4,-38.18,8.1
2598.5,2599,-296.3,-37.95,7.3
2599,2599.5,-299.4,-38.36,7.5
2599.5,2600,-299.8,-38.33,6.9
2600,2600.5,-294,-37.59,6.7
2600.5,2601,-296.8,-37.8,5.6
2601,2601.5,-296.2,-37.88,6.9
2601.5,2602,-296.2,-38.06,8.3
2602,2602.5,-294.6,-37.89,8.6
2602.5,2603,-298.3,-38.34,8.4
2603,2603.5,-292.6,-37.5,7.4
2603.5,2604,-294.7,-37.7,6.9
2604,2604.5,-292.3,-37.79,10
2604.5,2605,-289.7,-37.39,9.5
2605,2605.5,-291.1,-37.41,8.2
2605.5,2606,-293.1,-37.62,7.9
2606,2606.5,-292.5,-37.59,8.2
2606.5,2607,-291.2,-37.25,6.7
2607,2607.5,-291.1,-37.15,6.1
2607.5,2608,-287.8,-36.7,5.7
2608,2608.5,-287.2,-36.76,6.9
2608.5,2609,-283.4,-36.06,5.1
2609,2609.5,-284.8,-36.45,6.8
2609.5,2610,-284.8,-36.37,6.2
2610,2610.5,-284.7,-36.42,6.7
2610.5,2611,-284,-36.26,6.1
2612,2612.5,-293.9,-37.46,5.8
2612.5,2613,-318.8,-40.87,8.2
2613,2613.5,-321.4,-41.09,7.3
2613.5,2614,-323.3,-41.74,10.6
2614,2614.5,-317.1,-40.9,10.2
2614.5,2615,-322.9,-41.56,9.6
2615,2615.5,-322.9,-41.54,9.4
2615.5,2616,-322.4,-41.54,9.9
2616,2616.5,-320.3,-41.14,8.9
2616.5,2617,-322.4,-41.58,10.2
2617,2617.5,-322.9,-41.55,9.5
2617.5,2618,-327.1,-42.3,11.2
2618,2618.5,-318.7,-41.04,9.6
2618.5,2619,-311.4,-39.99,8.5
2619,2619.5,-300.6,-38.69,8.9
2619.5,2620,-299.4,-38.29,6.9
2620,2620.5,-298,-38.19,7.6
2620.5,2621,-297.6,-38.09,7.1
2622,2622.5,-308.6,-39.56,7.9
2622.5,2623,-306.9,-39.48,9
2623,2623.5,-305.4,-39.14,7.7
2623.5,2624,-303.1,-38.93,8.4
2624,2624.5,-300.8,-38.62,8.2
2624.5,2625,-304.2,-39.06,8.3
2625,2625.5,-302.1,-38.68,7.3
2625.5,2626,-299.4,-38.59,9.4
2626,2626.5,-296.9,-38.22,8.9
2626.5,2627,-293.1,-37.58,7.6
2627,2627.5,-294.6,-37.02,1.5
2627.5,2628,-294.6,-37.43,4.8
2628,2628.5,-295.8,-37.9,7.4
2628.5,2629,-299,-38.27,7.1
2631,2631.5,-302,-38.85,8.8
2631.5,2632,-301.1,-38.39,6.1
2632,2632.5,-297.1,-38.25,8.9
2632.5,2633,-301.7,-38.56,6.8
2633,2633.5,-297.8,-38.47,10
2633.5,2634,-297.5,-38.38,9.6
2634,2634.5,-301.2,-38.59,7.5
2634.5,2635,-295,-37.94,8.5
2635,2635.5,-295.9,-38.12,9.1
2635.5,2636,-296.5,-38.28,9.7
2636,2636.5,-295.7,-38.08,9
2636.5,2637,-295.7,-37.91,7.6
2637,2637.5,-296.9,-38.22,8.8
2637.5,2638,-298.3,-38.41,8.9
2638,2638.5,-291.2,-37.58,9.4
2638.5,2639,-297.1,-38.34,9.6
2639,2639.5,-295.9,-38.27,10.3
2639.5,2640,-291.6,-37.42,7.8
2640,2640.5,-290.9,-37.34,7.9
2640.5,2641,-296.3,-38.01,7.8
2641,2641.5,-290.4,-37.37,8.5
2641.5,2642,-292.1,-37.71,9.5
2642,2642.5,-292.4,-37.69,9.1
2642.5,2643,-291.9,-37.41,7.4
2643,2643.5,-288.5,-37.14,8.6
2643.5,2644,-291.7,-37.66,9.5
2644,2644.5,-285.4,-36.76,8.6
2644.5,2645,-294.2,-37.82,8.4
2645,2645.5,-289,-37.12,7.9
2645.5,2646,-286.4,-36.58,6.2
2649,2649.5,-286,-36.87,9
